lon,lat,plastic_input_mid_tonnes,low,high
120.237,31.938,332836.81,309979.57,479685.03
90.629,23.221,115462.08,104529.1,171747.88
113.254,22.396,73888.16,64594.13,114255.11
121.513,31.354,40754.99,33486.58,67349.52
8.254,4.821,40273.88,33769.28,65129.07
112.871,-7.562,38910.0,32266.92,63665.93
-51.079,-0.671,38884.18,32158.81,63807.93
120.979,14.579,38820.58,32114.69,63674.88
95.037,16.363,35330.98,29704.09,56933.14
112.638,-7.062,32513.96,26521.01,54149.99
106.254,9.613,22846.97,18848.06,37618.34
7.529,4.546,21548.36,17508.67,36084.91
113.521,23.046,19136.51,15697.27,31749.95
109.112,-7.679,17120.44,13347.5,29936.06
-74.846,11.071,16707.92,12886.2,29547.56
121.438,25.163,14675.31,11554.78,25434.77
113.404,23.096,13601.22,10901.72,23133.28
116.854,23.454,12897.15,10343.52,21935.18
110.213,-7.979,12824.67,9800.39,22916.17
7.987,4.546,11887.15,9287.65,20773.01
110.746,21.387,10114.31,7924.54,17607.59
3.404,6.421,9550.63,7392.54,16859.47
106.529,20.312,9505.16,7457.06,16533.06
120.646,14.771,8731.49,6719.0,15503.62
106.646,20.704,8632.47,6702.76,15183.01
108.796,-7.671,8040.4,6031.24,14668.71
6.671,4.529,7985.75,6160.75,14152.74
119.779,34.462,7601.99,5808.34,13620.53
121.638,18.329,7061.55,5294.69,12897.07
120.621,30.387,6777.73,5047.2,12472.41
105.029,-2.404,6751.58,4977.06,12552.09
124.204,7.254,6681.21,4893.37,12503.73
116.513,23.438,6619.87,5070.63,11829.83
106.112,20.029,6584.96,5057.85,11722.29
100.821,4.029,6537.01,4801.58,12202.63
120.704,28.029,6410.79,4805.49,11729.6
108.221,-6.246,6373.42,4729.56,11766.06
120.204,16.038,6216.77,4655.47,11368.83
120.421,22.521,6153.61,4655.6,11131.96
107.013,-5.946,5653.12,4146.17,10569.88
100.987,13.488,5614.21,4284.94,10067.13
117.846,24.429,5379.43,4083.73,9715.06
101.379,3.004,5178.05,3785.7,9723.66
140.704,53.112,5064.63,3723.16,9446.97
106.754,10.504,4978.43,3756.78,9037.91
119.513,26.062,4346.77,3221.58,8053.37
125.562,38.696,4176.72,3159.97,7564.02
110.287,-8.012,4006.35,2868.05,7688.7
120.329,34.112,3948.17,2923.89,7323.36
118.621,24.871,3683.99,2717.11,6863.56
68.596,23.938,3569.91,2626.4,6671.97
113.004,22.446,3486.61,2554.84,6530.53
100.562,13.613,3351.83,2491.21,6186.77
117.721,38.987,3226.37,2349.4,6090.09
105.504,9.096,3225.89,2315.12,6176.44
106.721,10.479,3145.43,2297.15,5916.69
-58.521,-33.938,3055.04,2174.15,5908.18
104.196,-1.096,2905.99,2024.82,5741.86
-88.237,15.729,2812.56,2019.07,5387.19
103.446,3.521,2756.75,1930.94,5421.77
-60.979,8.579,2687.44,1882.79,5281.53
88.104,22.304,2680.98,1972.23,5000.95
145.012,-7.812,2644.71,1831.54,5260.08
111.979,21.788,2596.52,1872.07,4949.22
5.296,5.912,2401.34,1739.24,4559.32
106.646,20.621,2313.5,1667.33,4415.01
